Data as of,Start Week,End Week,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other,Footnote
10/28/2020,02/01/2020,10/24/2020,Virginia,Unweighted distribution of population (%),61.2,19.1,0.3,6.8,9.8,2.8,
10/28/2020,02/01/2020,10/24/2020,Virginia,Weighted distribution of population (%),51.9,16.1,0.2,14.4,14.2,3.2,
10/28/2020,02/01/2020,10/24/2020,Washington,Count of COVID-19 deaths,"1,412",73,59,148,310,54,
10/28/2020,02/01/2020,10/24/2020,Washington,Distribution of COVID-19 deaths (%),68.7,3.6,2.9,7.2,15.1,2.6,
10/28/2020,02/01/2020,10/24/2020,Washington,Unweighted distribution of population (%),67.5,4,1.3,9.3,13,4.9,
10/28/2020,02/01/2020,10/24/2020,Washington,Weighted distribution of population (%),61.2,6,0.8,16.2,11.2,4.5,
10/28/2020,02/01/2020,10/24/2020,West Virginia,Count of COVID-19 deaths,335,14,,,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,West Virginia,Distribution of COVID-19 deaths (%),95.2,4,,,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,West Virginia,Unweighted distribution of population (%),92,3.5,0.2,0.8,1.7,1.8,
10/28/2020,02/01/2020,10/24/2020,West Virginia,Weighted distribution of population (%),88.8,6.2,0.2,1.1,1.5,2.2,
10/28/2020,02/01/2020,10/24/2020,Wisconsin,Count of COVID-19 deaths,"1,204",243,17,44,162,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Wisconsin,Distribution of COVID-19 deaths (%),71.9,14.5,1,2.6,9.7,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Wisconsin,Unweighted distribution of population (%),80.9,6.4,0.9,3,7.1,1.8,
10/28/2020,02/01/2020,10/24/2020,Wisconsin,Weighted distribution of population (%),60.3,19.5,0.6,4.3,13,2.2,
