Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/02/2020,05/09/2020,05/09/2020,By week,Delaware,Week-ending,64,270,1.65,34,27,0,71,
11/02/2020,05/16/2020,05/16/2020,By week,Delaware,Week-ending,75,276,1.67,26,19,0,82,
11/02/2020,05/23/2020,05/23/2020,By week,Delaware,Week-ending,49,222,1.3,24,17,0,56,
11/02/2020,05/30/2020,05/30/2020,By week,Delaware,Week-ending,49,226,1.38,26,16,0,59,
11/02/2020,06/06/2020,06/06/2020,By week,Delaware,Week-ending,23,181,1.07,15,,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/13/2020,06/13/2020,By week,Delaware,Week-ending,20,199,1.23,12,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Delaware,Week-ending,,160,0.95,,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/27/2020,06/27/2020,By week,Delaware,Week-ending,,199,1.16,12,,0,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Delaware,Week-ending,,200,1.11,15,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Delaware,Week-ending,,194,1.17,11,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Delaware,Week-ending,,189,1.04,11,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Delaware,Week-ending,,199,1.22,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Delaware,Week-ending,,195,1.24,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Delaware,Week-ending,,196,1.09,12,,0,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Delaware,Week-ending,,183,1.09,,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,Delaware,Week-ending,,189,1.1,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Delaware,Week-ending,,186,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Delaware,Week-ending,,203,1.21,11,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/12/2020,09/12/2020,By week,Delaware,Week-ending,,187,1.11,12,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/19/2020,09/19/2020,By week,Delaware,Week-ending,,155,0.94,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/26/2020,09/26/2020,By week,Delaware,Week-ending,,188,1.06,12,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/03/2020,10/03/2020,By week,Delaware,Week-ending,,175,1.02,11,,0,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/10/2020,10/10/2020,By week,Delaware,Week-ending,,153,0.86,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/17/2020,10/17/2020,By week,Delaware,Week-ending,,128,0.78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/24/2020,10/24/2020,By week,Delaware,Week-ending,,84,0.51,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/31/2020,10/31/2020,By week,Delaware,Week-ending,,16,0.1,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,143,1.1,11,0,0,11,
11/02/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,131,1.01,10,0,0,10,
11/02/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,122,0.94,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,104,0.94,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,135,1.11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,118,0.96,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,114,0.97,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,129,1.1,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,130,1.07,20,,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,25,156,1.34,37,25,0,37,
11/02/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,37,193,1.69,49,37,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,59,202,1.7,68,57,0,70,
11/02/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,90,242,1.9,99,90,0,99,
11/02/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,75,215,1.78,81,75,0,81,
11/02/2020,05/09/2020,05/09/2020,By week,District of Columbia,Week-ending,86,214,1.94,93,86,0,93,
11/02/2020,05/16/2020,05/16/2020,By week,District of Columbia,Week-ending,71,185,1.74,80,71,0,80,
11/02/2020,05/23/2020,05/23/2020,By week,District of Columbia,Week-ending,49,181,1.67,51,46,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/30/2020,05/30/2020,By week,District of Columbia,Week-ending,42,168,1.47,47,41,0,48,
11/02/2020,06/06/2020,06/06/2020,By week,District of Columbia,Week-ending,38,149,1.33,40,36,0,42,
11/02/2020,06/13/2020,06/13/2020,By week,District of Columbia,Week-ending,30,147,1.37,35,30,0,35,
11/02/2020,06/20/2020,06/20/2020,By week,District of Columbia,Week-ending,28,132,1.21,33,21,0,40,
11/02/2020,06/27/2020,06/27/2020,By week,District of Columbia,Week-ending,19,128,1.13,26,18,0,27,
11/02/2020,07/04/2020,07/04/2020,By week,District of Columbia,Week-ending,16,121,1.16,18,13,0,21,
11/02/2020,07/11/2020,07/11/2020,By week,District of Columbia,Week-ending,,138,1.21,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,District of Columbia,Week-ending,13,121,1.01,14,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,District of Columbia,Week-ending,,124,1.16,11,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,District of Columbia,Week-ending,10,129,1.16,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,District of Columbia,Week-ending,,115,1.04,12,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,District of Columbia,Week-ending,,114,0.99,13,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,District of Columbia,Week-ending,11,110,1,16,10,0,17,
11/02/2020,08/29/2020,08/29/2020,By week,District of Columbia,Week-ending,,136,1.23,15,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,District of Columbia,Week-ending,,138,1.22,15,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/12/2020,09/12/2020,By week,District of Columbia,Week-ending,,122,1.08,13,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/19/2020,09/19/2020,By week,District of Columbia,Week-ending,,100,0.86,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/26/2020,09/26/2020,By week,District of Columbia,Week-ending,,105,0.87,13,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/03/2020,10/03/2020,By week,District of Columbia,Week-ending,,124,1.18,18,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/10/2020,10/10/2020,By week,District of Columbia,Week-ending,,116,0.93,12,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/17/2020,10/17/2020,By week,District of Columbia,Week-ending,,86,0.69,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/24/2020,10/24/2020,By week,District of Columbia,Week-ending,,39,0.32,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/31/2020,10/31/2020,By week,District of Columbia,Week-ending,0,,0.06,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,"4,419",0.99,245,0,35,280,
11/02/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,"4,385",1,286,0,35,321,
11/02/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,"4,358",1,275,0,25,300,
11/02/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,"4,416",1.04,273,0,33,306,
11/02/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,"4,397",1.04,268,0,33,301,
11/02/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,"4,520",1.07,266,,29,296,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,"4,435",1.06,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,"4,362",1.03,365,,23,396,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,"4,461",1.06,369,45,19,434,
11/02/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,219,"4,497",1.08,484,142,16,575,
11/02/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,303,"4,545",1.1,437,158,10,592,
11/02/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,310,"4,416",1.1,441,155,,600,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,325,"4,554",1.14,438,164,,603,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,308,"4,351",1.1,418,170,,558,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Florida,Week-ending,290,"4,407",1.12,385,141,,539,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Florida,Week-ending,257,"4,279",1.1,373,132,0,498,
11/02/2020,05/23/2020,05/23/2020,By week,Florida,Week-ending,236,"4,360",1.15,338,117,,460,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/30/2020,05/30/2020,By week,Florida,Week-ending,230,"4,211",1.08,333,112,,452,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/06/2020,06/06/2020,By week,Florida,Week-ending,222,"4,264",1.09,330,99,0,453,
11/02/2020,06/13/2020,06/13/2020,By week,Florida,Week-ending,193,"4,255",1.13,312,101,,404,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Florida,Week-ending,220,"4,406",1.14,341,114,,448,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/27/2020,06/27/2020,By week,Florida,Week-ending,322,"4,504",1.19,385,177,0,530,
11/02/2020,07/04/2020,07/04/2020,By week,Florida,Week-ending,465,"4,725",1.21,458,226,,698,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Florida,Week-ending,780,"5,082",1.36,593,366,,"1,008",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Florida,Week-ending,"1,179","5,508",1.48,821,568,,"1,434",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Florida,Week-ending,"1,413","5,702",1.53,936,730,,"1,619",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Florida,Week-ending,"1,513","5,791",1.54,"1,003",773,,"1,744",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Florida,Week-ending,"1,396","5,581",1.48,"1,026",832,,"1,591",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Florida,Week-ending,"1,178","5,508",1.5,917,676,,"1,419",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,Florida,Week-ending,947,"5,196",1.41,832,565,,"1,216",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Florida,Week-ending,801,"5,009",1.36,679,467,,"1,013",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Florida,Week-ending,653,"4,751",1.27,614,385,,884,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/12/2020,09/12/2020,By week,Florida,Week-ending,518,"4,496",1.18,565,317,,767,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/19/2020,09/19/2020,By week,Florida,Week-ending,430,"4,645",1.21,484,270,0,644,
11/02/2020,09/26/2020,09/26/2020,By week,Florida,Week-ending,413,"4,420",1.17,451,243,0,621,
11/02/2020,10/03/2020,10/03/2020,By week,Florida,Week-ending,310,"4,301",1.12,381,173,,519,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/10/2020,10/10/2020,By week,Florida,Week-ending,311,"4,381",1.15,400,190,,521,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/17/2020,10/17/2020,By week,Florida,Week-ending,231,"3,869",1.03,336,139,0,428,
11/02/2020,10/24/2020,10/24/2020,By week,Florida,Week-ending,77,"2,759",0.72,183,47,0,213,
11/02/2020,10/31/2020,10/31/2020,By week,Florida,Week-ending,15,881,0.23,41,12,0,44,
11/02/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,"1,790",1,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,"1,776",1,93,0,11,104,
11/02/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,"1,755",1.01,90,0,16,106,
11/02/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,"1,740",1.03,82,0,21,103,
11/02/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,0,"1,852",1.13,90,0,,99,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,"1,750",1.04,86,,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,"1,780",1.05,105,,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,41,"1,769",1.05,134,20,,162,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,98,"1,873",1.1,158,44,,218,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,218,"2,028",1.25,234,107,,349,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,216,"2,029",1.25,224,98,,347,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,265,"2,017",1.23,212,112,,368,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,257,"2,029",1.23,219,118,,359,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,271,"1,967",1.19,205,129,,348,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Georgia,Week-ending,207,"1,979",1.25,188,92,,305,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Georgia,Week-ending,195,"1,948",1.24,156,96,,256,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/23/2020,05/23/2020,By week,Georgia,Week-ending,154,"1,895",1.23,149,71,0,232,
11/02/2020,05/30/2020,05/30/2020,By week,Georgia,Week-ending,141,"1,761",1.11,116,47,0,210,
11/02/2020,06/06/2020,06/06/2020,By week,Georgia,Week-ending,118,"1,764",1.13,139,53,,205,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/13/2020,06/13/2020,By week,Georgia,Week-ending,118,"1,725",1.12,131,56,0,193,
11/02/2020,06/20/2020,06/20/2020,By week,Georgia,Week-ending,94,"1,757",1.13,111,32,0,173,
11/02/2020,06/27/2020,06/27/2020,By week,Georgia,Week-ending,128,"1,790",1.18,121,49,0,200,
11/02/2020,07/04/2020,07/04/2020,By week,Georgia,Week-ending,149,"1,854",1.22,114,54,0,209,
11/02/2020,07/11/2020,07/11/2020,By week,Georgia,Week-ending,219,"1,942",1.27,161,95,0,285,
11/02/2020,07/18/2020,07/18/2020,By week,Georgia,Week-ending,293,"2,131",1.37,209,133,0,369,
11/02/2020,07/25/2020,07/25/2020,By week,Georgia,Week-ending,368,"2,131",1.37,246,166,,448,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Georgia,Week-ending,408,"2,132",1.38,255,184,0,479,
11/02/2020,08/08/2020,08/08/2020,By week,Georgia,Week-ending,463,"2,135",1.4,289,218,0,534,
11/02/2020,08/15/2020,08/15/2020,By week,Georgia,Week-ending,418,"2,184",1.37,304,209,0,513,
11/02/2020,08/22/2020,08/22/2020,By week,Georgia,Week-ending,396,"2,164",1.41,289,205,,482,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Georgia,Week-ending,331,"2,036",1.31,259,170,0,420,
11/02/2020,09/05/2020,09/05/2020,By week,Georgia,Week-ending,248,"1,944",1.28,216,135,0,329,
11/02/2020,09/12/2020,09/12/2020,By week,Georgia,Week-ending,248,"1,923",1.22,207,133,,323,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/19/2020,09/19/2020,By week,Georgia,Week-ending,203,"1,761",1.14,191,110,0,284,
11/02/2020,09/26/2020,09/26/2020,By week,Georgia,Week-ending,199,"1,795",1.15,170,98,0,271,
11/02/2020,10/03/2020,10/03/2020,By week,Georgia,Week-ending,142,"1,643",1.04,131,70,0,203,
11/02/2020,10/10/2020,10/10/2020,By week,Georgia,Week-ending,132,"1,487",0.95,124,72,0,184,
11/02/2020,10/17/2020,10/17/2020,By week,Georgia,Week-ending,90,"1,181",0.74,115,53,,152,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/24/2020,10/24/2020,By week,Georgia,Week-ending,44,651,0.41,45,21,0,68,
11/02/2020,10/31/2020,10/31/2020,By week,Georgia,Week-ending,0,60,0.04,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,1.02,19,0,0,19,
11/02/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,235,1.1,20,0,0,20,
11/02/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,281,1.16,23,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,249,1.07,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,239,0.95,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,243,0.98,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,212,0.95,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,235,0.98,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,234,1,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,221,0.99,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,211,1.01,,0,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,200,0.92,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Hawaii,Week-ending,,222,1.02,18,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Hawaii,Week-ending,0,210,0.93,12,0,0,12,
11/02/2020,05/16/2020,05/16/2020,By week,Hawaii,Week-ending,0,230,1.02,13,0,0,13,
11/02/2020,05/23/2020,05/23/2020,By week,Hawaii,Week-ending,0,208,0.94,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/30/2020,05/30/2020,By week,Hawaii,Week-ending,0,200,0.96,11,0,0,11,
11/02/2020,06/06/2020,06/06/2020,By week,Hawaii,Week-ending,0,217,1.02,11,0,0,11,
11/02/2020,06/13/2020,06/13/2020,By week,Hawaii,Week-ending,0,203,0.85,10,0,0,10,
11/02/2020,06/20/2020,06/20/2020,By week,Hawaii,Week-ending,0,244,1.06,12,0,0,12,
11/02/2020,06/27/2020,06/27/2020,By week,Hawaii,Week-ending,,236,1.1,,0,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Hawaii,Week-ending,,206,1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Hawaii,Week-ending,,225,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Hawaii,Week-ending,,206,0.98,13,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Hawaii,Week-ending,,219,0.99,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Hawaii,Week-ending,,216,1.07,11,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Hawaii,Week-ending,,230,1.09,12,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Hawaii,Week-ending,12,221,1.07,15,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,Hawaii,Week-ending,11,242,1.17,15,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Hawaii,Week-ending,32,254,1.17,26,18,0,40,
11/02/2020,09/05/2020,09/05/2020,By week,Hawaii,Week-ending,29,233,1.12,18,12,0,35,
11/02/2020,09/12/2020,09/12/2020,By week,Hawaii,Week-ending,32,269,1.14,30,17,0,45,
11/02/2020,09/19/2020,09/19/2020,By week,Hawaii,Week-ending,32,240,1.13,22,11,0,43,
